"sport","event","date","athlete_id","country_id","bronze","gold","silver"
"Track and Field","Men's Marathon","2016-01-01",4869,39,0,0,0
"Track and Field","Men's 50 kilometres Walk","2016-01-01",4871,39,0,0,0
"Track and Field","Men's 20 kilometres Walk","2016-01-01",4874,39,0,0,0
"Track and Field","Women's Shot Put","2016-01-01",4903,26,0,0,0
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",4937,42,0,0,0
"Track and Field","Men's 20 kilometres Walk","2016-01-01",4938,173,0,0,0
"Track and Field","Women's 20 kilometres Walk","2016-01-01",4972,42,0,0,0
"Track and Field","Men's Pole Vault","2016-01-01",4991,102,0,0,0
"Track and Field","Men's 20 kilometres Walk","2016-01-01",5006,42,0,0,0
"Swimming","Swimming Women's 10 kilometres Open Water","2016-01-01",5009,57,0,0,0
"Track and Field","Women's Marathon","2016-01-01",5050,42,0,0,0
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",5053,5,0,0,0
"Gymnastics","Gymnastics Men's Individual All-Around","2016-01-01",5056,189,0,0,0
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",5056,189,0,0,0
"Gymnastics","Gymnastics Men's Parallel Bars","2016-01-01",5056,189,0,0,0
"Gymnastics","Gymnastics Men's Horizontal Bar","2016-01-01",5056,189,0,0,0
"Gymnastics","Gymnastics Men's Rings","2016-01-01",5056,189,0,0,0
"Gymnastics","Gymnastics Men's Pommelled Horse","2016-01-01",5056,189,0,0,0
"Track and Field","Men's 10,000 metres","2016-01-01",5065,189,0,0,0
"Track and Field","Women's Marathon","2016-01-01",5103,100,0,0,0
"Track and Field","Women's Marathon","2016-01-01",5127,128,0,0,0
"Track and Field","Men's Shot Put","2016-01-01",5191,147,0,0,0
"Track and Field","Men's 800 metres","2016-01-01",5309,148,0,0,0
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",5311,173,0,0,0
"Swimming","Swimming Women's 100 metres Freestyle","2016-01-01",5335,119,0,0,0
"Track and Field","Women's 20 kilometres Walk","2016-01-01",5340,151,0,0,0
"Track and Field","Men's 20 kilometres Walk","2016-01-01",5358,57,0,0,0
"Track and Field","Women's Discus Throw","2016-01-01",5378,121,0,0,0
"Track and Field","Women's 200 metres","2016-01-01",5393,51,0,0,0
"Track and Field","Women's 800 metres","2016-01-01",5443,18,0,0,0
"Track and Field","Men's Long Jump","2016-01-01",5444,89,0,0,0
"Track and Field","Women's 400 metres Hurdles","2016-01-01",5475,198,0,0,0
"Track and Field","Women's Discus Throw","2016-01-01",5508,173,0,0,0
"Track and Field","Men's 110 metres Hurdles","2016-01-01",5523,195,0,0,0
"Swimming","Swimming Men's 200 metres Butterfly","2016-01-01",5528,131,0,0,0
"Swimming","Swimming Men's 200 metres Individual Medley","2016-01-01",5528,131,0,0,0
"Track and Field","Women's 200 metres","2016-01-01",5542,73,0,0,0
