"id","gender","age","height","weight"
10059,"F",23,163,52
10101,"M",22,184,80
10162,"M",26,188,115
10217,"M",22,183,80
10257,"M",20,196,84
10324,"F",25,174,73
10351,"F",28,162,49
10467,"F",32,166,56
10511,"M",35,174,69
10582,"M",21,168,53
10585,"M",23,183,70
10691,"F",23,165,53
10737,"M",24,193,83
10802,"F",27,175,89
10900,"F",44,160,45
10924,"F",29,163,58
10962,"F",26,170,67
10969,"M",23,NULL,NULL
10980,"M",37,183,85
10994,"M",27,182,78
11006,"M",27,178,90
11055,"M",26,190,75
11065,"F",28,165,55
11106,"M",19,165,62
11151,"M",20,176,58
11181,"M",21,NULL,NULL
11203,"F",22,163,46
11238,"F",23,182,115
11254,"F",26,170,65
11295,"F",26,178,64
11351,"M",29,193,93
11364,"M",21,178,62
11495,"F",19,143,47
11510,"M",22,196,84
11516,"F",30,167,59
11538,"M",32,185,74
11610,"M",23,177,70
11611,"M",31,172,80
11615,"F",22,160,61
11673,"M",24,187,72
11677,"M",25,175,NULL
11699,"M",23,190,140
11705,"M",23,NULL,NULL
11715,"M",32,179,72
11787,"F",27,173,56
11866,"M",30,152,61
11929,"M",22,185,84
11930,"F",24,175,66
11943,"F",33,168,64
11951,"M",40,178,65
11954,"F",23,182,72
11978,"F",20,155,56
12086,"M",26,180,80
12164,"M",27,178,64
12225,"M",23,183,73
12233,"F",24,175,67
12244,"M",28,180,88
12305,"M",26,182,82
12378,"F",24,171,62
12399,"F",22,170,58
12410,"F",22,163,49
12435,"M",26,174,62
12486,"F",24,176,53
12487,"F",28,167,49
12516,"M",29,197,93
12558,"M",29,171,72
12566,"M",29,179,76
12599,"F",28,178,66
12646,"M",29,184,77
12662,"F",27,176,87
12701,"M",27,172,62
12747,"F",23,174,57
12808,"F",19,167,54
12813,"F",32,170,54
12820,"M",27,178,72
12846,"M",23,187,81
12909,"F",27,180,62
12925,"M",22,177,63
12956,"M",22,170,66
12972,"F",23,165,53
12997,"F",26,163,52
13029,"M",29,196,95
13130,"M",25,187,78
13131,"M",26,198,77
13165,"F",31,168,55
13173,"M",27,185,74
13182,"M",25,174,60
13183,"F",38,165,58
13213,"F",24,152,54
13240,"F",28,171,60
13251,"F",21,175,64
13379,"M",26,168,52
13437,"F",37,172,89
13445,"M",25,193,120
13496,"M",26,191,87
13541,"M",23,190,78
13543,"M",28,180,69
13544,"M",28,180,67
13545,"F",30,172,57
13549,"F",27,183,77
13716,"M",23,178,75
13754,"F",34,170,57
13770,"M",24,185,68
13791,"F",18,159,48
13805,"M",26,178,54
13855,"F",20,170,65
13883,"F",30,167,58
13923,"F",25,175,61
13947,"M",27,182,64
13981,"F",23,166,60
13985,"F",17,155,55
14022,"F",26,159,45
14077,"M",22,173,54
14105,"M",24,184,69
14119,"M",19,164,50
